group	pTM_A	pTM_DNA	pTM_MG	pTM_C	pTM_rep	ipTM_A	ipTM_DNA	ipTM_MG	ipTM_C	ipTM_rep	ipTM_A_DNA	ipTM_A_MG	ipTM_DNA_MG	ipTM_A_C	ipTM_C_MG	ipTM_A_rep	ipTM_C_DNA	ipTM_C_rep	ipTM_DNA_rep	ipTM_MG_rep	ipSAE_A_DNA	ipSAE_d0chn_A_DNA	ipSAE_d0dom_A_DNA	ipTM_af_ipSAE_15_A_DNA	ipTM_d0chn_ipSAE_15_A_DNA	pDockQ_ipSAE_15_A_DNA	pDockQ2_ipSAE_15_A_DNA	LIS_ipSAE_15_A_DNA	ipSAE_A_C	ipSAE_d0chn_A_C	ipSAE_d0dom_A_C	ipTM_af_ipSAE_15_A_C	ipTM_d0chn_ipSAE_15_A_C	pDockQ_ipSAE_15_A_C	pDockQ2_ipSAE_15_A_C	LIS_ipSAE_15_A_C	ipSAE_A_rep	ipSAE_d0chn_A_rep	ipSAE_d0dom_A_rep	ipTM_af_ipSAE_15_A_rep	ipTM_d0chn_ipSAE_15_A_rep	pDockQ_ipSAE_15_A_rep	pDockQ2_ipSAE_15_A_rep	LIS_ipSAE_15_A_rep	ipSAE_C_DNA	ipSAE_d0chn_C_DNA	ipSAE_d0dom_C_DNA	ipTM_af_ipSAE_15_C_DNA	ipTM_d0chn_ipSAE_15_C_DNA	pDockQ_ipSAE_15_C_DNA	pDockQ2_ipSAE_15_C_DNA	LIS_ipSAE_15_C_DNA	ipSAE_C_rep	ipSAE_d0chn_C_rep	ipSAE_d0dom_C_rep	ipTM_af_ipSAE_15_C_rep	ipTM_d0chn_ipSAE_15_C_rep	pDockQ_ipSAE_15_C_rep	pDockQ2_ipSAE_15_C_rep	LIS_ipSAE_15_C_rep	ipSAE_DNA_rep	ipSAE_d0chn_DNA_rep	ipSAE_d0dom_DNA_rep	ipTM_af_ipSAE_15_DNA_rep	ipTM_d0chn_ipSAE_15_DNA_rep	pDockQ_ipSAE_15_DNA_rep	pDockQ2_ipSAE_15_DNA_rep	LIS_ipSAE_15_DNA_rep
gpa_ssDNA_30nt_2rep_gpc_seed10_model_1	0.77	0.13	NA	0.39	0.78	0.32	0.15	0.19	0.07	0.185	0.3	0.55	0.04	0.08	0.01	0.51	0.02	0.13	0.28	0.24	0.021878	0.273129	0.075765	0.55	0.151913	0.0865	0.0129	0.0312	0	0	0	0.08	0.074284	0.0232	0.0082	0	0.219155	0.657555	0.375686	0.51	0.39247	0.2023	0.0217	0.1812	0	0	0	0.01	0.017245	0	0	0	0	0	0	0.13	0.095897	0.1486	0.009	0	0.01842	0.281861	0.01842	0.24	0.144951	0.065	0.0127	0
gpa_ssDNA_30nt_2rep_gpc_seed10_model_2	0.77	0.14	NA	0.38	0.775	0.23	0.17	0.12	0.07	0.21	0.32	0.08	0.03	0.1	0.01	0.51	0.03	0.11	0.27	0.37	0.022928	0.28128	0.086778	0.08	0.158107	0.0754	0.0141	0.0538	0	0	0	0.1	0.079313	0.051	0.0086	0	0.231238	0.64311	0.371946	0.51	0.395098	0.1254	0.056	0.1865	0	0	0	0.01	0.018074	0.0211	0.008	0	0	0	0	0.11	0.092591	0.0772	0.0086	0	0.019705	0.295505	0.019705	0.37	0.144811	0.0544	0.013	0
gpa_ssDNA_30nt_2rep_gpc_seed10_model_3	0.78	0.13	NA	0.39	0.765	0.32	0.13	0.19	0.08	0.19	0.29	0.58	0.03	0.08	0.02	0.52	0.02	0.19	0.24	0.26	0.022457	0.277909	0.100482	0.58	0.153722	0.0725	0.0122	0.0292	0	0	0	0.08	0.073968	0.0245	0.0087	0	0.25544	0.654384	0.391628	0.52	0.414486	0.142	0.027	0.1964	0	0	0	0.02	0.016978	0	0	0	0	0	0	0.19	0.125241	0.0484	0.009	0	0.021878	0.318362	0.04195	0.26	0.146939	0.0521	0.013	0
gpa_ssDNA_30nt_2rep_gpc_seed10_model_4	0.75	0.11	NA	0.37	0.78	0.26	0.14	0.16	0.07	0.16	0.22	0.55	0.01	0.1	0.01	0.26	0.02	0.12	0.33	0.13	0.01842	0.240791	0.01842	0.55	0.121175	0.0506	0.0103	0	0	0	0	0.1	0.079179	0.0272	0.0085	0	0	0	0	0.26	0.175512	0.136	0.0097	0	0	0	0	0.01	0.017526	0	0	0	0	0	0	0.12	0.09524	0.0999	0.0087	0	0.019723	0.29618	0.019723	0.13	0.167936	0.0814	0.0125	0
gpa_ssDNA_30nt_2rep_gpc_seed1_model_0	0.72	0.12	NA	0.45	0.765	0.38	0.14	0.24	0.1	0.18	0.33	0.78	0.04	0.18	0.02	0.46	0.03	0.17	0.2	0.24	0	0	0	0.78	0.160166	0.0745	0.0111	0	0	0	0	0.18	0.104029	0.042	0.0092	0	0.213828	0.704774	0.363842	0.46	0.364876	0.1126	0.0328	0.2267	0	0	0	0.02	0.01882	0	0	0	0	0	0	0.17	0.110887	0.0455	0.0091	0	0	0	0	0.24	0.131226	0	0	0
gpa_ssDNA_30nt_2rep_gpc_seed1_model_1	0.71	0.11	NA	0.47	0.77	0.35	0.14	0.23	0.08	0.185	0.23	0.77	0.01	0.14	0.03	0.48	0.03	0.11	0.24	0.24	0	0	0	0.77	0.124869	0.0536	0.01	0	0	0	0	0.14	0.088742	0.097	0.0091	0	0.250225	0.703431	0.369749	0.48	0.382661	0.1574	0.0281	0.2727	0	0	0	0.03	0.018222	0	0	0	0	0	0	0.11	0.09092	0	0	0	0	0	0	0.24	0.130361	0.0763	0.0108	0
gpa_ssDNA_30nt_2rep_gpc_seed1_model_2	0.71	0.12	NA	0.43	0.78	0.32	0.13	0.22	0.08	0.185	0.21	0.73	0.02	0.08	0.01	0.46	0.02	0.15	0.32	0.23	0	0	0	0.73	0.119173	0.06	0.0101	0	0	0	0	0.08	0.071151	0	0	0	0.215892	0.700643	0.318582	0.46	0.360887	0.1457	0.0301	0.2411	0	0	0	0.01	0.01731	0	0	0	0	0	0	0.15	0.112983	0.0363	0.0088	0	0.023121	0.331124	0.024332	0.23	0.166798	0.0621	0.0132	0
gpa_ssDNA_30nt_2rep_gpc_seed1_model_3	0.7	0.11	NA	0.44	0.78	0.33	0.13	0.22	0.09	0.19	0.19	0.74	0.01	0.14	0.02	0.44	0.03	0.15	0.33	0.22	0	0	0	0.74	0.113772	0.0433	0.0101	0	0	0	0	0.14	0.09042	0.0319	0.0089	0	0.201521	0.68208	0.279913	0.44	0.346426	0.1149	0.0231	0.2097	0	0	0	0.02	0.018105	0	0	0	0	0	0	0.15	0.103951	0.0927	0.009	0	0.022113	0.321097	0.075391	0.22	0.172463	0.0576	0.0139	0
gpa_ssDNA_30nt_2rep_gpc_seed1_model_4	0.7	0.11	NA	0.41	0.77	0.33	0.12	0.22	0.11	0.19	0.18	0.75	0.01	0.16	0.02	0.43	0.02	0.19	0.25	0.21	0	0	0	0.75	0.106961	0.0414	0.0096	0	0	0	0	0.16	0.095034	0.0368	0.0091	0	0.197791	0.688906	0.266147	0.43	0.338093	0.1218	0.0454	0.2151	0	0	0	0.02	0.017781	0	0	0	0	0	0	0.19	0.118037	0.0904	0.0092	0	0	0	0	0.21	0.135329	0.0617	0.0115	0
gpa_ssDNA_30nt_2rep_gpc_seed2_model_0	0.45	0.11	NA	0.4	0.78	0.17	0.12	0.13	0.08	0.19	0.13	0.08	0.03	0.17	0.01	0.32	0.02	0.11	0.29	0.44	0	0	0	0.08	0.087236	0.0315	0.0093	0	0	0	0	0.17	0.114181	0.0487	0.0086	0	0.202757	0.670607	0.252458	0.32	0.270033	0.3283	0.0165	0.2333	0	0	0	0.01	0.017911	0	0	0	0	0	0	0.11	0.092674	0.0522	0.0087	0	0.017934	0.276386	0.017934	0.44	0.156533	0.0694	0.0125	0
gpa_ssDNA_30nt_2rep_gpc_seed2_model_1	0.45	0.11	NA	0.44	0.785	0.28	0.11	0.16	0.08	0.155	0.19	0.56	0.01	0.18	0.02	0.33	0.03	0.1	0.24	0.12	0	0	0	0.56	0.110132	0.0322	0.0093	0	0	0	0	0.18	0.119994	0.0674	0.009	0	0.262069	0.712295	0.302013	0.33	0.284779	0.1483	0.0178	0.3005	0	0	0	0.02	0.018375	0	0	0	0	0	0	0.1	0.090869	0.0183	0.0081	0	0	0	0	0.12	0.135528	0.0594	0.0109	0
gpa_ssDNA_30nt_2rep_gpc_seed2_model_2	0.43	0.11	NA	0.43	0.76	0.27	0.09	0.17	0.08	0.14500000000000002	0.14	0.62	0.02	0.16	0.02	0.32	0.03	0.12	0.15	0.12	0	0	0	0.62	0.086337	0.0226	0.0084	0	0	0	0	0.16	0.111606	0.0332	0.0087	0	0.249423	0.716228	0.291681	0.32	0.276282	0.2113	0.0175	0.2842	0	0	0	0.02	0.018654	0.0187	0.0078	0	0	0	0	0.12	0.097037	0.0322	0.0088	0	0	0	0	0.12	0.101477	0.0258	0.0095	0
gpa_ssDNA_30nt_2rep_gpc_seed2_model_3	0.42	0.1	NA	0.42	0.785	0.27	0.12	0.17	0.09	0.155	0.15	0.6	0.01	0.18	0.02	0.3	0.02	0.12	0.28	0.1	0	0	0	0.6	0.09639	0.0323	0.0102	0	0.004545	0.250877	0.004545	0.18	0.121384	0.0538	0.0087	0	0.193858	0.655362	0.234385	0.3	0.256615	0.1413	0.0131	0.1984	0	0	0	0.02	0.017625	0	0	0	0	0	0	0.12	0.095623	0	0	0	0.020867	0.308317	0.020867	0.1	0.157585	0.0599	0.0128	0
gpa_ssDNA_30nt_2rep_gpc_seed2_model_4	0.43	0.11	NA	0.43	0.78	0.26	0.1	0.16	0.08	0.15	0.1	0.57	0	0.19	0.02	0.31	0.02	0.1	0.26	0.11	0	0	0	0.57	0.077465	0.0184	0.0078	0	0.004669	0.256025	0.004669	0.19	0.126224	0.0645	0.0091	0	0.23902	0.706228	0.299018	0.31	0.271214	0.2237	0.0197	0.2688	0	0	0	0.02	0.016882	0	0	0	0	0	0	0.1	0.090437	0.0251	0.0086	0	0	0	0	0.11	0.145422	0.0919	0.0118	0
gpa_ssDNA_30nt_2rep_gpc_seed3_model_0	0.76	0.15	NA	0.42	0.78	0.39	0.17	0.25	0.09	0.21000000000000002	0.38	0.75	0.07	0.1	0.02	0.55	0.02	0.2	0.27	0.3	0.085635	0.327149	0.247576	0.75	0.207294	0.0994	0.0166	0.0695	0	0	0	0.1	0.080692	0.0352	0.0088	0	0.313196	0.716615	0.510691	0.55	0.455856	0.1433	0.0297	0.2582	0	0	0	0.02	0.017109	0	0	0	0	0	0	0.2	0.130474	0.0573	0.0091	0	0.023121	0.331124	0.126436	0.3	0.168649	0.118	0.0158	0
gpa_ssDNA_30nt_2rep_gpc_seed3_model_1	0.76	0.15	NA	0.42	0.785	0.4	0.18	0.25	0.07	0.19999999999999998	0.4	0.75	0.07	0.11	0.02	0.55	0.03	0.12	0.31	0.31	0.139876	0.349582	0.269084	0.75	0.214851	0.1039	0.0184	0.0793	0	0	0	0.11	0.082181	0.0403	0.0085	0	0.312282	0.728013	0.512558	0.55	0.45603900000000003	0.1618	0.0297	0.2562	0	0	0	0.02	0.018058	0.0183	0.008	0	0	0	0	0.12	0.096128	0.0616	0.0089	0	0.019451	0.293242	0.019451	0.31	0.160986	0.0765	0.0128	0
gpa_ssDNA_30nt_2rep_gpc_seed3_model_2	0.76	0.15	NA	0.43	0.78	0.4	0.23	0.25	0.09	0.23	0.42	0.76	0.08	0.09	0.02	0.55	0.02	0.19	0.35	0.3	0.160492	0.364613	0.29124100000000003	0.76	0.23284	0.0936	0.0213	0.0848	0	0	0	0.09	0.076285	0.0305	0.0083	0	0.315881	0.713254	0.511312	0.55	0.459071	0.1247	0.0581	0.2575	0	0	0	0.02	0.017777	0	0	0	0	0	0	0.19	0.126983	0.0252	0.0091	0	0.022778	0.327739	0.126596	0.3	0.17821	0.0735	0.015	0
gpa_ssDNA_30nt_2rep_gpc_seed3_model_3	0.76	0.11	NA	0.43	0.775	0.35	0.13	0.22	0.07	0.19	0.24	0.69	0.01	0.13	0.02	0.55	0.02	0.11	0.19	0.28	0.021948	0.273877	0.06634	0.69	0.151353	0.0536	0.0108	0.0083	0	0	0	0.13	0.090033	0.0652	0.0095	0	0.316134	0.717161	0.514181	0.55	0.453888	0.1536	0.0564	0.2649	0	0	0	0.02	0.017513	0	0	0	0	0	0	0.11	0.09167	0	0	0	0	0	0	0.28	0.129875	0.0451	0.0106	0
gpa_ssDNA_30nt_2rep_gpc_seed3_model_4	0.75	0.14	NA	0.41	0.755	0.37	0.19	0.24	0.09	0.21500000000000002	0.37	0.72	0.07	0.09	0.01	0.53	0.02	0.21	0.37	0.27	0.089606	0.337821	0.243676	0.72	0.204254	0.093	0.0139	0.0789	0	0	0	0.09	0.075164	0.0183	0.0087	0	0.281121	0.691343	0.457078	0.53	0.429556	0.1687	0.0248	0.2292	0	0	0	0.01	0.017636	0.0183	0.0079	0	0	0	0	0.21	0.132492	0.0293	0.0091	0	0.022026	0.319262	0.132574	0.27	0.192473	0.131	0.0147	0.0083
gpa_ssDNA_30nt_2rep_gpc_seed4_model_0	0.73	0.13	NA	0.45	0.73	0.23	0.15	0.13	0.09	0.21000000000000002	0.3	0.08	0	0.19	0.01	0.45	0.03	0.11	0.23	0.49	0.021316	0.26876100000000003	0.053152	0.08	0.165948	0.0414	0.0112	0	0	0	0	0.19	0.104831	0.1011	0.0097	0	0.210691	0.664006	0.259631	0.45	0.356678	0.173	0.0211	0.2211	0	0	0	0.01	0.018736	0	0	0	0	0	0	0.11	0.096056	0	0	0	0	0	0	0.49	0.131223	0.0911	0.0119	0
gpa_ssDNA_30nt_2rep_gpc_seed4_model_1	0.73	0.14	NA	0.41	0.745	0.21	0.17	0.12	0.08	0.21000000000000002	0.29	0.07	0.03	0.13	0.01	0.43	0.03	0.14	0.29	0.43	0.019959	0.25585	0.046864	0.07	0.158843	0.0515	0.0114	0	0	0	0	0.13	0.085491	0.0434	0.0086	0	0.167752	0.634297	0.21702	0.43	0.331754	0.0997	0.0294	0.1682	0	0	0	0.01	0.017945	0	0	0	0	0	0	0.14	0.103713	0.0508	0.009	0	0.02436	0.340695	0.167221	0.43	0.160015	0.1006	0.0135	0.0275
gpa_ssDNA_30nt_2rep_gpc_seed4_model_2	0.73	0.13	NA	0.43	0.74	0.32	0.13	0.2	0.1	0.185	0.21	0.66	0.02	0.13	0.02	0.43	0.03	0.17	0.26	0.2	0	0	0	0.66	0.12075	0.0399	0.011	0	0	0	0	0.13	0.086437	0.0431	0.0087	0	0.179085	0.651924	0.226487	0.43	0.335592	0.1232	0.0496	0.1788	0	0	0	0.02	0.018285	0	0	0	0	0	0	0.17	0.113999	0.0937	0.0091	0	0.024553	0.343374	0.160986	0.2	0.160714	0.0507	0.0128	0.0167
gpa_ssDNA_30nt_2rep_gpc_seed4_model_3	0.72	0.13	NA	0.42	0.725	0.33	0.14	0.21	0.08	0.175	0.29	0.7	0.03	0.08	0.01	0.44	0.02	0.16	0.22	0.21	0.021826	0.273485	0.053567	0.7	0.156689	0.1008	0.0129	0	0	0	0	0.08	0.073013	0.0401	0.0086	0	0.180171	0.659901	0.243819	0.44	0.335235	0.1191	0.024	0.1794	0	0	0	0.01	0.017513	0	0	0	0	0	0	0.16	0.113124	0.021	0.0087	0	0.023473	0.334554	0.057481	0.21	0.142937	0.0484	0.0139	0
gpa_ssDNA_30nt_2rep_gpc_seed4_model_4	0.72	0.12	NA	0.42	0.74	0.33	0.14	0.2	0.09	0.18	0.25	0.69	0.02	0.12	0.02	0.44	0.02	0.2	0.3	0.2	0.017698	0.233433	0.017698	0.69	0.139097	0.0647	0.011	0	0	0	0	0.12	0.085712	0.0433	0.0089	0	0.207511	0.674166	0.270953	0.44	0.346866	0.1347	0.0265	0.2258	0	0	0	0.02	0.017201	0	0	0	0	0	0	0.2	0.125781	0.0458	0.0092	0	0.022595	0.325645	0.110568	0.2	0.161593	0.1335	0.0128	0
gpa_ssDNA_30nt_2rep_gpc_seed5_model_0	0.55	0.12	NA	0.44	0.76	0.23	0.13	0.11	0.11	0.175	0.26	0.19	0	0.2	0.02	0.36	0.03	0.16	0.23	0.25	0	0	0	0.19	0.139555	0.0431	0.01	0	0.005076	0.272336	0.005076	0.2	0.132368	0.0484	0.0089	0	0.130378	0.549461	0.202333	0.36	0.240337	0.2452	0.0153	0.091	0	0	0	0.02	0.02045	0.0187	0.0081	0	0	0	0	0.16	0.114883	0.0226	0.0092	0	0	0	0	0.25	0.13265	0.0688	0.0117	0
gpa_ssDNA_30nt_2rep_gpc_seed5_model_1	0.56	0.11	NA	0.43	0.77	0.27	0.1	0.17	0.08	0.145	0.15	0.6	0.01	0.14	0.01	0.31	0.03	0.12	0.23	0.12	0	0	0	0.6	0.092695	0.0344	0.0094	0	0	0	0	0.14	0.099916	0.0319	0.0087	0	0.125347	0.520545	0.163469	0.31	0.243556	0.4014	0.0116	0.0913	0	0	0	0.01	0.018376	0	0	0	0	0	0	0.12	0.096521	0.0822	0.0087	0	0.01842	0.281861	0.01842	0.12	0.140242	0.065	0.012	0
gpa_ssDNA_30nt_2rep_gpc_seed5_model_2	0.56	0.13	NA	0.47	0.765	0.29	0.12	0.17	0.1	0.15	0.24	0.6	0.02	0.18	0.02	0.29	0.03	0.16	0.23	0.11	0	0	0	0.6	0.129973	0.0352	0.0095	0	0.005079	0.272413	0.005079	0.18	0.126886	0.0395	0.0088	0	0.12572	0.575726	0.176604	0.29	0.234724	0.1641	0.015	0.1063	0	0	0	0.02	0.019777	0.0189	0.0077	0	0	0	0	0.16	0.113655	0.0574	0.0092	0	0	0	0	0.11	0.133339	0.0611	0.0117	0
gpa_ssDNA_30nt_2rep_gpc_seed5_model_3	0.54	0.12	NA	0.46	0.76	0.27	0.14	0.16	0.09	0.15000000000000002	0.24	0.6	0.01	0.15	0.02	0.22	0.03	0.12	0.31	0.09	0.01867	0.243313	0.01867	0.6	0.134951	0.0452	0.0107	0	0	0	0	0.15	0.100864	0.0314	0.0088	0	0	0	0	0.22	0.155482	0.0722	0.0092	0	0	0	0	0.02	0.018737	0.0187	0.008	0	0	0	0	0.12	0.099126	0.029	0.0085	0	0.021169	0.311451	0.021169	0.09	0.16187000000000001	0.0954	0.0122	0
gpa_ssDNA_30nt_2rep_gpc_seed5_model_4	0.57	0.13	NA	0.45	0.76	0.27	0.14	0.16	0.09	0.135	0.29	0.57	0.02	0.2	0.02	0.14	0.04	0.1	0.26	0.11	0.019867	0.255151	0.019867	0.57	0.151844	0.0451	0.0101	0	0.005566	0.289418	0.005566	0.2	0.132021	0.0573	0.0089	0	0	0	0	0.14	0.124452	0.226	0.0091	0	0	0	0	0.02	0.020856	0.0201	0.0085	0	0	0	0	0.1	0.091402	0	0	0	0.021982	0.319427	0.048967	0.11	0.149267	0.1307	0.0131	0
gpa_ssDNA_30nt_2rep_gpc_seed6_model_0	0.53	0.15	NA	0.37	0.755	0.35	0.18	0.22	0.09	0.15500000000000003	0.35	0.77	0.1	0.18	0.01	0.28	0.03	0.13	0.2	0.13	0.2015	0.417623	0.253032	0.77	0.21572	0.0335	0.0151	0.1187	0.004545	0.250877	0.004545	0.18	0.117339	0.0299	0.0095	0	0.096301	0.481121	0.119437	0.28	0.217114	0.3293	0.0107	0.0702	0	0	0	0.01	0.019183	0	0	0	0	0	0	0.13	0.100691	0.0289	0.0085	0	0	0	0	0.13	0.122935	0.0516	0.0108	0
gpa_ssDNA_30nt_2rep_gpc_seed6_model_1	0.52	0.14	NA	0.37	0.76	0.34	0.16	0.21	0.08	0.165	0.3	0.74	0.08	0.16	0.01	0.27	0.03	0.11	0.3	0.1	0.119737	0.366389	0.185348	0.74	0.192001	0.0449	0.0168	0.0948	0	0	0	0.16	0.110448	0.0313	0.0086	0	0.08793	0.461498	0.107421	0.27	0.21192	0.1881	0.0106	0.0655	0	0	0	0.01	0.018126	0	0	0	0	0	0	0.11	0.0932	0.0205	0.0084	0	0.023121	0.331124	0.023121	0.1	0.160398	0.102	0.0129	0
gpa_ssDNA_30nt_2rep_gpc_seed6_model_2	0.5	0.14	NA	0.34	0.78	0.2	0.14	0.09	0.09	0.16	0.29	0.12	0.01	0.17	0.02	0.27	0.03	0.11	0.24	0.22	0.084438	0.33657	0.137812	0.12	0.169024	0.0311	0.014	0.0841	0	0	0	0.17	0.112322	0.0313	0.0088	0	0.082879	0.461689	0.103491	0.27	0.209835	0.2615	0.0109	0.0523	0	0	0	0.02	0.019666	0.019	0.0079	0	0	0	0	0.11	0.092057	0.0476	0.0085	0	0	0	0	0.22	0.135043	0.0873	0.011	0
gpa_ssDNA_30nt_2rep_gpc_seed6_model_3	0.54	0.14	NA	0.37	0.775	0.34	0.18	0.21	0.09	0.155	0.34	0.73	0.09	0.18	0.01	0.29	0.03	0.13	0.27	0.13	0.142469	0.345381	0.169676	0.73	0.192632	0.0616	0.0131	0.0988	0.004866	0.264014	0.004866	0.18	0.117212	0.0366	0.0088	0	0.067436	0.425293	0.085827	0.29	0.210424	0.1637	0.0109	0.0478	0	0	0	0.01	0.018942	0	0	0	0	0	0	0.13	0.097404	0.0458	0.0088	0	0.020283	0.30217	0.020283	0.13	0.143636	0.0643	0.0121	0
gpa_ssDNA_30nt_2rep_gpc_seed6_model_4	0.51	0.14	NA	0.38	0.78	0.31	0.16	0.21	0.08	0.135	0.34	0.75	0.11	0.17	0.01	0.16	0.03	0.1	0.21	0.09	0.177989	0.372919	0.195464	0.75	0.204042	0.0342	0.0133	0.1115	0	0	0	0.17	0.112076	0.0344	0.0089	0	0	0	0	0.16	0.134092	0.095	0.0091	0	0	0	0	0.01	0.01952	0	0	0	0	0	0	0.1	0.088498	0.0386	0.0084	0	0	0	0	0.09	0.124919	0.0514	0.0107	0
gpa_ssDNA_30nt_2rep_gpc_seed7_model_0	0.69	0.12	NA	0.48	0.765	0.34	0.16	0.21	0.11	0.185	0.26	0.66	0.02	0.24	0.07	0.42	0.03	0.12	0.3	0.2	0.017934	0.235851	0.017934	0.66	0.141605	0.0424	0.0103	0	0	0	0	0.24	0.120614	0.1073	0.0107	0	0.15891	0.641465	0.2174	0.42	0.317146	0.1162	0.0181	0.1704	0	0	0	0.07	0.018833	0	0	0	0	0	0	0.12	0.097242	0	0	0	0.019451	0.293242	0.019451	0.2	0.155716	0.0611	0.0126	0
gpa_ssDNA_30nt_2rep_gpc_seed7_model_1	0.7	0.12	NA	0.46	0.76	0.32	0.12	0.21	0.08	0.16499999999999998	0.24	0.7	0.02	0.12	0.03	0.41	0.03	0.11	0.19	0.2	0	0	0	0.7	0.128824	0.0657	0.0111	0	0	0	0	0.12	0.083954	0.0774	0.0094	0	0.153535	0.61751	0.19131	0.41	0.316545	0.1887	0.0182	0.1584	0	0	0	0.03	0.018007	0	0	0	0	0	0	0.11	0.092585	0.0325	0.0088	0	0	0	0	0.2	0.123905	0	0	0
gpa_ssDNA_30nt_2rep_gpc_seed7_model_2	0.63	0.13	NA	0.45	0.765	0.37	0.19	0.23	0.09	0.20500000000000002	0.36	0.7	0.03	0.16	0.03	0.35	0.03	0.13	0.36	0.24	0.020572	0.261992	0.072491	0.7	0.181989	0.0636	0.0106	0	0	0	0	0.16	0.102424	0.1182	0.0095	0	0.139104	0.610033	0.18746	0.35	0.268593	0.1735	0.0142	0.1395	0	0	0	0.03	0.019086	0	0	0	0	0	0	0.13	0.101326	0.0313	0.0087	0	0.023121	0.331124	0.067518	0.24	0.188136	0.0803	0.0139	0
gpa_ssDNA_30nt_2rep_gpc_seed7_model_3	0.69	0.12	NA	0.44	0.755	0.36	0.14	0.21	0.11	0.16	0.35	0.68	0.03	0.23	0.06	0.39	0.04	0.13	0.19	0.17	0	0	0	0.68	0.162269	0.0725	0.0106	0	0	0	0	0.23	0.119616	0.0878	0.0104	0	0.136835	0.594093	0.172155	0.39	0.296744	0.152	0.0138	0.1168	0	0	0	0.06	0.019613	0	0	0	0	0	0	0.13	0.097006	0.0537	0.0088	0	0	0	0	0.17	0.125454	0	0	0
gpa_ssDNA_30nt_2rep_gpc_seed7_model_4	0.65	0.11	NA	0.46	0.76	0.25	0.12	0.18	0.07	0.13	0.22	0.67	0.02	0.08	0.02	0.16	0.02	0.11	0.25	0.1	0	0	0	0.67	0.119262	0.0598	0.0103	0	0	0	0	0.08	0.072675	0.0198	0.0084	0	0	0	0	0.16	0.134081	0.1252	0.0088	0	0	0	0	0.02	0.017436	0	0	0	0	0	0	0.11	0.091238	0.0861	0.0089	0	0.021791	0.31784	0.026646	0.1	0.158703	0.0646	0.0121	0
gpa_ssDNA_30nt_2rep_gpc_seed8_model_0	0.54	0.12	NA	0.41	0.78	0.32	0.14	0.18	0.11	0.175	0.22	0.66	0.02	0.19	0.02	0.31	0.03	0.15	0.33	0.12	0	0	0	0.66	0.121218	0.0312	0.0095	0	0.005224	0.278076	0.005224	0.19	0.130574	0.0337	0.0088	0	0.206409	0.682793	0.263917	0.31	0.265934	0.1375	0.023	0.2285	0	0	0	0.02	0.019455	0.0183	0.008	0	0	0	0	0.15	0.10859	0.0514	0.0092	0	0.021791	0.31784	0.021791	0.12	0.173745	0.1064	0.0128	0
gpa_ssDNA_30nt_2rep_gpc_seed8_model_1	0.53	0.12	NA	0.45	0.775	0.3	0.11	0.18	0.12	0.16	0.1	0.71	0	0.25	0.02	0.31	0.03	0.15	0.33	0.11	0	0	0	0.71	0.079002	0	0	0	0.005999	0.302931	0.025778	0.25	0.15828	0.027	0.0097	0.0278	0.209458	0.681418	0.257494	0.31	0.265569	0.0939	0.0269	0.2132	0	0	0	0.02	0.019464	0.0185	0.0083	0	0	0	0	0.15	0.10869	0.0728	0.0088	0	0.0242	0.341546	0.124469	0.11	0.185359	0.1235	0.0152	0
gpa_ssDNA_30nt_2rep_gpc_seed8_model_2	0.53	0.11	NA	0.43	0.775	0.26	0.11	0.12	0.11	0.155	0.15	0.4	0.01	0.26	0.02	0.31	0.03	0.13	0.29	0.1	0	0	0	0.4	0.09746	0.0215	0.0094	0	0.006126	0.30797	0.032386	0.26	0.162456	0.034	0.0096	0.0272	0.23372	0.704731	0.288137	0.31	0.270286	0.2209	0.0129	0.2497	0	0	0	0.02	0.019701	0.0183	0.0077	0	0	0	0	0.13	0.098511	0.0369	0.0086	0	0.020177	0.300896	0.026385	0.1	0.162846	0.0729	0.0143	0
gpa_ssDNA_30nt_2rep_gpc_seed8_model_3	0.54	0.13	NA	0.46	0.765	0.32	0.14	0.18	0.1	0.145	0.25	0.66	0.04	0.27	0.02	0.28	0.03	0.12	0.26	0.1	0.018925	0.24587	0.018925	0.66	0.134649	0.0412	0.0102	0	0.005797	0.297983	0.022017	0.27	0.164716	0.0452	0.0089	0.0135	0.117681	0.549756	0.147473	0.28	0.227168	0.2378	0.0104	0.1298	0	0	0	0.02	0.018564	0	0	0	0	0	0	0.12	0.096106	0	0	0	0.02	0.299156	0.02	0.1	0.141379	0.1184	0.0116	0
gpa_ssDNA_30nt_2rep_gpc_seed8_model_4	0.53	0.13	NA	0.45	0.76	0.3	0.13	0.19	0.11	0.155	0.21	0.68	0.03	0.2	0.01	0.22	0.03	0.2	0.26	0.12	0	0	0	0.68	0.114973	0.04	0.0096	0	0.004884	0.264476	0.004884	0.2	0.133604	0.0336	0.0089	0	0.005513	0.412993	0.005513	0.22	0.164515	0.0886	0.0099	0	0	0	0	0.01	0.018245	0.0186	0.0078	0	0	0	0	0.2	0.118026	0.053900000000000003	0.0088	0	0.017934	0.276386	0.017934	0.12	0.150327	0.1022	0.0109	0
